Feature ID,Area,Surface,Feature,Code reference,User story,Expected behavior from code,Existing automated coverage,Baseline status,Baseline evidence,Errors / issue IDs,Fix status,Retest status,Retest evidence,Notes
F-001,Admin,GET /.well-known/parse-admin.json,Get .Well Known Parse Admin.Json,src/routes/admin.ts:2318,"As a admin operator, I want get .well known parse admin.json through GET /.well-known/parse-admin.json so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/routes/discovery-geo.test.ts,PASS,GET surface returned HTTP 200 without leaking credentials. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-002,Admin,GET /admin,Get Admin,src/routes/admin.ts:2333,"As a admin operator, I want get admin through GET /admin so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,GET surface returned HTTP 200 without leaking credentials. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-003,Admin,GET /v1/admin/manifest,Get V1 Admin Manifest,src/routes/admin.ts:2337,"As a admin operator, I want get v1 admin manifest through GET /v1/admin/manifest so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-004,Admin,GET /v1/admin/summary,Get V1 Admin Summary,src/routes/admin.ts:2339,"As a admin operator, I want get v1 admin summary through GET /v1/admin/summary so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-005,Admin,GET /v1/admin/geo,Get V1 Admin Geo,src/routes/admin.ts:2341,"As a admin operator, I want get v1 admin geo through GET /v1/admin/geo so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-006,Admin,POST /v1/admin/geo/synthetic-tests,Post V1 Admin Geo Synthetic Tests,src/routes/admin.ts:2343,"As a admin operator, I want post v1 admin geo synthetic tests through POST /v1/admin/geo/synthetic-tests so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Admin synthetic-test action is auth gated and does not 5xx for a minimal request. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-007,Admin,GET /v1/admin/api-keys,Get V1 Admin Api Keys,src/routes/admin.ts:2351,"As a admin operator, I want get v1 admin api keys through GET /v1/admin/api-keys so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Unauthenticated request rejected; admin-authenticated request returned data or an explicit DB dependency response. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-008,Admin,POST /v1/admin/api-keys,Post V1 Admin Api Keys,src/routes/admin.ts:2353,"As a admin operator, I want post v1 admin api keys through POST /v1/admin/api-keys so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Admin key create is auth gated and returns a bounded response under test config. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-009,Admin,PATCH /v1/admin/api-keys/:id,Patch V1 Admin Api Keys Id,src/routes/admin.ts:2361,"As a admin operator, I want patch v1 admin api keys id through PATCH /v1/admin/api-keys/:id so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Admin key update is auth gated and returns a bounded response for a missing key. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
F-010,Admin,DELETE /v1/admin/api-keys/:id,Delete V1 Admin Api Keys Id,src/routes/admin.ts:2369,"As a admin operator, I want delete v1 admin api keys id through DELETE /v1/admin/api-keys/:id so that Parse behavior is usable and predictable.","Require admin authorization, validate inputs, return redacted operational data, and audit/action only allowlisted admin operations.",src/__tests__/admin-routes.test.ts,PASS,Admin key delete is auth gated and returns a bounded response for a missing key. Evidence artifact: docs/qa/baseline-user-story-results.json,,VERIFIED_NO_CURRENT_ERROR,PASS,PASS in latest full user-story baseline. Evidence artifact: docs/qa/baseline-user-story-results.json,Inventory generated from route declarations on 2026-06-21; keep this CSV as the single canonical feature/status spreadsheet.
